"interpretacion","id_interpretacion","edad","id_usuario","id_escuela","grado","id_palabra"
"15 años","1","14","56","4","3","7"
"abandono","2","14","78","4","3","5"
"abandono","2","14","78","4","3","6"
"aborto","3","16","1","8","2","1"
"aborto","3","13","29","8","2","1"
"aborto","3","13","36","8","2","1"
"aborto","3","14","78","4","3","1"
"aborto","3","null","79","8","3","1"
"aborto","3","15","82","8","3","1"
"aborto","3","null","88","8","3","1"
"aborto","3","14","91","8","3","1"
"aborto","3","null","93","8","3","1"
"aborto","3","null","97","8","3","1"
"aborto","3","14","99","8","3","1"
"aborto","3","null","97","8","3","16"
"abuela","4","15","55","4","3","12"
"abuela","4","15","77","4","3","17"
"aburrido","5","13","20","8","2","3"
"aburrido","5","13","6","8","2","13"
"abuso","6","16","1","8","2","2"
"abuso","6","15","96","8","3","2"
"abuso","6","15","70","4","3","6"
"abuso familiar","7","13","18","8","2","6"
"accidente","8","14","56","4","3","1"
"accidente","8","13","9","8","2","16"
"accidentes","9","14","41","4","3","6"
"accidentes","9","14","42","4","3","6"
"accidentes","9","14","64","4","3","6"
"accidentes","9","15","65","4","3","6"
"accidentes","9","15","96","8","3","6"
"aceptación","10","13","14","8","2","10"
"aceptación","10","13","10","8","2","16"
"aceptación","10","13","21","8","2","16"
"aceptación","10","13","25","8","2","16"
"aceptación","10","13","26","8","2","16"
"aceptación","10","13","36","8","2","16"
"aceptación","10","13","37","8","2","16"
"acesinato","11","13","31","8","2","2"
"acogedora","12","14","43","4","3","13"
"acosador","13","14","2","8","2","2"
"acoso","14","14","44","4","3","2"
"acoso cibernético","15","14","68","4","3","2"
"acoso sexual","16","13","25","8","2","2"
"actitud negativa","17","14","23","8","2","2"
"adicción","18","16","1","8","2","5"
"adicción","18","14","2","8","2","5"
"adicción","18","13","10","8","2","5"
"adicción","18","13","14","8","2","5"
"adicción","18","null","15","8","2","5"
"adicción","18","13","18","8","2","5"
"adicción","18","13","21","8","2","5"
"adicción","18","14","23","8","2","5"
"adicción","18","13","25","8","2","5"
"adicción","18","13","28","8","2","5"
"adicción","18","13","30","8","2","5"
"adicción","18","13","37","8","2","5"
"adicción","18","13","38","8","2","5"
"adicción","18","13","39","8","2","5"
"adicción","18","14","40","8","2","5"
"adicción","18","14","41","4","3","5"
"adicción","18","14","42","4","3","5"
"adicción","18","14","43","4","3","5"
"adicción","18","15","46","4","3","5"
"adicción","18","15","48","4","3","5"
"adicción","18","14","49","4","3","5"
"adicción","18","14","52","4","3","5"
"adicción","18","14","62","4","3","5"
"adicción","18","14","64","4","3","5"
"adicción","18","15","65","4","3","5"
"adicción","18","15","70","4","3","5"
"adicción","18","14","72","4","3","5"
"adicción","18","14","78","4","3","5"
"adicción","18","null","79","8","3","5"
"adicción","18","null","80","8","3","5"
"adicción","18","15","82","8","3","5"
"adicción","18","16","84","8","3","5"
"adicción","18","14","86","8","3","5"
"adicción","18","14","87","8","3","5"
"adicción","18","15","89","8","3","5"
"adicción","18","null","90","8","3","5"
"adicción","18","14","91","8","3","5"
"adicción","18","14","92","8","3","5"
"adicción","18","null","93","8","3","5"
"adicción","18","null","94","8","3","5"
"adicción","18","15","96","8","3","5"
"adicción","18","14","99","8","3","5"
"adicción","18","14","100","8","3","5"
"adicción","18","14","101","8","3","5"
"adicción","18","13","26","8","2","6"
"adicción","18","null","90","8","3","6"
"adiós estudios","19","13","11","8","2","1"
"adolescencia","20","16","1","8","2","9"
"adolescencia","20","13","38","8","2","9"
"adolescentes","21","13","30","8","2","1"
"adolescentes","21","13","34","8","2","1"
"adolescentes","21","14","73","4","3","4"
"adolescentes","21","16","1","8","2","5"
"adolescentes","21","14","4","8","2","5"
"adolescentes","21","13","7","8","2","5"
"adolescentes","21","13","9","8","2","5"
"adolescentes","21","13","19","8","2","5"
"afectar","22","13","29","8","2","2"
"afecto","23","null","81","8","3","8"
"afecto","23","15","82","8","3","8"
"afecto","23","14","92","8","3","8"
"afecto","23","null","94","8","3","8"
"afecto","23","15","96","8","3","8"
"afecto","23","null","97","8","3","8"
"afecto","23","null","81","8","3","12"
"afecto","23","15","82","8","3","12"
"afecto","23","15","96","8","3","12"
"afecto","23","14","40","8","2","13"
"agresión","24","16","1","8","2","2"
"agresión","24","16","84","8","3","2"
"agresión","24","null","93","8","3","2"
"agresión","24","14","95","8","3","2"
"agresión","24","15","96","8","3","2"
"albañiles","25","14","50","4","3","2"
"alcohol","26","16","1","8","2","7"
"alcohol","26","14","2","8","2","7"
"alcohol","26","13","3","8","2","7"
"alcohol","26","13","7","8","2","7"
"alcohol","26","13","9","8","2","7"
"alcohol","26","13","12","8","2","7"
"alcohol","26","13","14","8","2","7"
"alcohol","26","13","21","8","2","7"
"alcohol","26","13","25","8","2","7"
"alcohol","26","13","28","8","2","7"
"alcohol","26","13","30","8","2","7"
"alcohol","26","13","34","8","2","7"
"alcohol","26","14","40","8","2","7"
"alcohol","26","14","44","4","3","7"
"alcohol","26","15","47","4","3","7"
"alcohol","26","14","49","4","3","7"
"alcohol","26","14","50","4","3","7"
"alcohol","26","14","54","4","3","7"
"alcohol","26","15","60","4","3","7"
"alcohol","26","15","61","4","3","7"
"alcohol","26","14","63","4","3","7"
"alcohol","26","14","64","4","3","7"
"alcohol","26","14","68","4","3","7"
"alcohol","26","14","69","4","3","7"
"alcohol","26","15","70","4","3","7"
"alcohol","26","null","71","4","3","7"
"alcohol","26","14","72","4","3","7"
"alcohol","26","14","78","4","3","7"
"alcohol","26","15","89","8","3","7"
"alcohol","26","14","92","8","3","7"
"alcohol","26","null","93","8","3","7"
"alcohol","26","15","96","8","3","7"
"alegría","27","16","1","8","2","4"
"alegría","27","14","2","8","2","4"
"alegría","27","13","11","8","2","4"
"alegría","27","13","12","8","2","4"
"alegría","27","13","27","8","2","4"
"alegría","27","15","55","4","3","4"
"alegría","27","14","66","4","3","4"
"alegría","27","14","74","4","3","4"
"alegría","27","null","80","8","3","4"
"alegría","27","15","82","8","3","4"
"alegría","27","16","84","8","3","4"
"alegría","27","14","95","8","3","4"
"alegría","27","null","97","8","3","4"
"alegría","27","13","27","8","2","7"
"alegría","27","15","96","8","3","7"
"alegría","27","null","97","8","3","7"
"alegría","27","15","96","8","3","8"
"algo bonito","28","15","77","4","3","8"
"algo que pasará","29","14","4","8","2","3"
"alrededor","31","13","9","8","2","15"
"alta","32","13","9","8","2","10"
"alta","32","13","27","8","2","10"
"alta","32","13","28","8","2","10"
"alta","32","13","29","8","2","10"
"alta","32","14","41","4","3","10"
"alta","32","14","51","4","3","10"
"alta","32","14","54","4","3","10"
"alta","32","15","55","4","3","10"
"alta","32","14","56","4","3","10"
"alta","32","14","58","4","3","10"
"alta","32","15","60","4","3","10"
"alta","32","15","61","4","3","10"
"alta","32","14","62","4","3","10"
"alta","32","14","69","4","3","10"
"alta","32","15","70","4","3","10"
"alta","32","14","72","4","3","10"
"alta","32","14","73","4","3","10"
"alta","32","15","77","4","3","10"
"alta","32","null","97","8","3","10"
"alta","32","14","98","8","3","10"
"alta","32","14","99","8","3","10"
"alucinación","33","15","82","8","3","5"
"alucinación","33","null","88","8","3","5"
"alucinación","33","15","96","8","3","5"
"alucinación","33","14","99","8","3","5"
"alucinación","33","14","100","8","3","5"
"amarres","34","null","32","8","2","8"
"amarres","34","13","34","8","2","8"
"ambiente","35","14","49","4","3","7"
"ambiente bueno","36","14","23","8","2","17"
"amén","37","15","45","4","3","12"
"amiga","38","14","99","8","3","9"
"amigas","39","14","5","8","2","7"
"amigas","39","13","34","8","2","17"
"amigos","40","14","4","8","2","6"
"amigos","40","null","81","8","3","6"
"amigos","40","14","4","8","2","7"
"amigos","40","13","9","8","2","7"
"amigos","40","13","35","8","2","7"
"amigos","40","14","51","4","3","8"
"amigos","40","14","44","4","3","9"
"amigos","40","13","28","8","2","11"
"amigos","40","14","72","4","3","12"
"amigos","40","null","71","4","3","13"
"amigos","40","14","2","8","2","14"
"amigos","40","13","33","8","2","14"
"amigos","40","13","35","8","2","14"
"amigos","40","14","44","4","3","14"
"amigos","40","null","75","4","3","14"
"amigos","40","13","35","8","2","15"
"amigos","40","13","20","8","2","16"
"amigos","40","13","7","8","2","17"
"amigos","40","13","8","8","2","17"
"amigos","40","13","10","8","2","17"
"amigos","40","13","12","8","2","17"
"amigos","40","14","13","8","2","17"
"amigos","40","13","14","8","2","17"
"amigos","40","null","17","8","2","17"
"amigos","40","13","20","8","2","17"
"amigos","40","13","21","8","2","17"
"amigos","40","13","25","8","2","17"
"amigos","40","13","28","8","2","17"
"amigos","40","13","29","8","2","17"
"amigos","40","13","29","8","2","17"
"amigos","40","13","35","8","2","17"
"amigos","40","13","36","8","2","17"
"amigos","40","13","37","8","2","17"
"amigos","40","13","39","8","2","17"
"amigos","40","14","40","8","2","17"
"amigos","40","14","41","4","3","17"
"amigos","40","15","47","4","3","17"
"amigos","40","15","48","4","3","17"
"amigos","40","14","49","4","3","17"
"amigos","40","14","50","4","3","17"
"amigos","40","15","55","4","3","17"
"amigos","40","14","56","4","3","17"
"amigos","40","14","58","4","3","17"
"amigos","40","15","61","4","3","17"
"amigos","40","14","62","4","3","17"
"amigos","40","14","63","4","3","17"
"amigos","40","14","64","4","3","17"
"amigos","40","14","66","4","3","17"
"amigos","40","14","67","4","3","17"
"amigos","40","14","69","4","3","17"
"amigos","40","15","70","4","3","17"
"amigos","40","14","78","4","3","17"
"amigos","40","null","79","8","3","17"
"amigos","40","null","80","8","3","17"
"amigos","40","null","81","8","3","17"
"amigos","40","15","82","8","3","17"
"amigos","40","null","83","8","3","17"
"amigos","40","16","84","8","3","17"
"amigos","40","14","86","8","3","17"
"amigos","40","14","87","8","3","17"
"amigos","40","null","88","8","3","17"
"amigos","40","15","89","8","3","17"
"amigos","40","14","92","8","3","17"
"amigos","40","null","93","8","3","17"
"amigos","40","null","94","8","3","17"
"amigos","40","14","95","8","3","17"
"amigos","40","15","96","8","3","17"
"amigos","40","null","97","8","3","17"
"amigos","40","14","98","8","3","17"
"amigos","40","14","99","8","3","17"
"amigos nuevos","41","15","77","4","3","7"
"amigos nuevos","41","13","14","8","2","11"
"amistad","42","14","66","4","3","8"
"amor","43","13","31","8","2","1"
"amor","43","14","74","4","3","1"
"amor","43","14","2","8","2","4"
"amor","43","13","10","8","2","4"
"amor","43","null","17","8","2","4"
"amor","43","13","28","8","2","4"
"amor","43","null","32","8","2","4"
"amor","43","13","38","8","2","4"
"amor","43","14","41","4","3","4"
"amor","43","15","55","4","3","4"
"amor","43","14","62","4","3","4"
"amor","43","14","68","4","3","4"
"amor","43","14","78","4","3","4"
"amor","43","13","9","8","2","8"
"amor","43","13","10","8","2","8"
"amor","43","13","18","8","2","8"
"amor","43","13","24","8","2","8"
"amor","43","13","25","8","2","8"
"amor","43","13","27","8","2","8"
"amor","43","13","28","8","2","8"
"amor","43","13","29","8","2","8"
"amor","43","14","41","4","3","8"
"amor","43","14","53","4","3","8"
"amor","43","14","58","4","3","8"
"amor","43","15","61","4","3","8"
"amor","43","14","62","4","3","8"
"amor","43","14","63","4","3","8"
"amor","43","14","64","4","3","8"
"amor","43","14","68","4","3","8"
"amor","43","14","69","4","3","8"
"amor","43","15","70","4","3","8"
"amor","43","14","74","4","3","8"
"amor","43","14","78","4","3","8"
"amor","43","null","80","8","3","8"
"amor","43","15","82","8","3","8"
"amor","43","14","87","8","3","8"
"amor","43","null","90","8","3","8"
"amor","43","15","96","8","3","8"
"amor","43","null","81","8","3","9"
"amor","43","15","82","8","3","9"
"amor","43","15","89","8","3","9"
"amor","43","null","93","8","3","9"
"amor","43","13","28","8","2","10"
"amor","43","13","3","8","2","12"
"amor","43","13","10","8","2","12"
"amor","43","null","17","8","2","12"
"amor","43","13","35","8","2","12"
"amor","43","13","38","8","2","12"
"amor","43","14","40","8","2","12"
"amor","43","14","41","4","3","12"
"amor","43","14","43","4","3","12"
"amor","43","14","53","4","3","12"
"amor","43","null","59","4","3","12"
"amor","43","14","63","4","3","12"
"amor","43","14","66","4","3","12"
"amor","43","15","77","4","3","12"
"amor","43","15","82","8","3","12"
"amor","43","null","88","8","3","12"
"amor","43","15","96","8","3","12"
"amor","43","14","91","8","3","16"
"amor","43","13","35","8","2","17"
"amor propio","44","13","3","8","2","10"
"amor propio","44","14","5","8","2","10"
"amor propio","44","13","24","8","2","10"
"amor propio","44","13","38","8","2","10"
"amor propio","44","14","50","4","3","10"
"amor propio","44","14","53","4","3","10"
"amorosos","45","13","12","8","2","12"
"amorosos","45","14","22","8","2","12"
"animal","46","14","23","8","2","1"
"anime","47","15","45","4","3","8"
"ánimo","48","13","26","8","2","15"
"anticonceptivos","49","14","87","8","3","1"
"anticonceptivos","49","13","9","8","2","9"
"anticonceptivos","49","13","24","8","2","9"
"aparatos ","50","14","49","4","3","11"
"apoyo","51","13","10","8","2","12"
"apoyo","51","13","31","8","2","12"
"apoyo","51","14","41","4","3","12"
"apoyo","51","14","42","4","3","12"
"apoyo","51","null","80","8","3","12"
"apoyo","51","16","84","8","3","12"
"apoyo","51","15","85","8","3","12"
"apoyo","51","14","87","8","3","12"
"apoyo","51","15","89","8","3","12"
"apoyo","51","null","93","8","3","12"
"apoyo","51","null","94","8","3","12"
"apoyo","51","15","96","8","3","12"
"apoyo","51","14","101","8","3","12"
"apoyo","51","null","90","8","3","13"
"apoyo","51","14","5","8","2","16"
"apoyo","51","13","8","8","2","16"
"apoyo","51","13","9","8","2","16"
"apoyo","51","13","12","8","2","16"
"apoyo","51","14","13","8","2","16"
"apoyo","51","null","17","8","2","16"
"apoyo","51","13","19","8","2","16"
"apoyo","51","13","31","8","2","16"
"apoyo","51","13","35","8","2","16"
"apoyo","51","14","50","4","3","16"
"apoyo","51","13","7","8","2","17"
"apoyo","51","13","9","8","2","17"
"apoyo","51","13","12","8","2","17"
"apoyo","51","null","17","8","2","17"
"apoyo","51","14","22","8","2","17"
"apoyo","51","13","30","8","2","17"
"apoyo","51","13","31","8","2","17"
"apoyo en hermanos","52","14","22","8","2","14"
"aprecio","53","14","23","8","2","10"
"aprendizaje","54","13","16","8","2","11"
"arquitecto","55","14","72","4","3","3"
"arquitectura","56","14","62","4","3","3"
"artista","57","14","51","4","3","6"
"autocontrol","58","13","18","8","2","4"
"autocontrol","58","13","28","8","2","4"
"autoestima","59","14","74","4","3","15"
"autoestima baja","60","14","5","8","2","15"
"autoestima baja","60","13","6","8","2","15"
"autoestima baja","60","13","11","8","2","15"
"autoestima baja","60","null","17","8","2","15"
"autoestima baja","60","14","23","8","2","15"
"autoestima baja","60","13","24","8","2","15"
"autoestima baja","60","13","30","8","2","15"
"autoestima baja","60","13","31","8","2","15"
"autoestima baja","60","13","34","8","2","15"
"autoestima baja","60","14","40","8","2","15"
"autoestima baja","60","14","49","4","3","15"
"autoestima baja","60","14","62","4","3","15"
"autoestima baja","60","14","64","4","3","15"
"autoestima baja","60","14","68","4","3","15"
"autoestima baja","60","null","81","8","3","15"
"autoestima baja","60","15","96","8","3","15"
"avance","61","14","78","4","3","3"
"avance","61","14","78","4","3","11"
"avances","62","14","86","8","3","11"
"avanzada","63","14","72","4","3","11"
"aventura","64","13","9","8","2","12"
"ayuda","65","14","76","4","3","12"
"ayuda","65","14","86","8","3","12"
"baboso","66","null","75","4","3","2"
"bacterias","67","13","12","8","2","9"
"bacterias","67","13","30","8","2","9"
"bailar","68","16","1","8","2","7"
"bailar","68","13","29","8","2","7"
"bailar","68","13","33","8","2","7"
"bailar","68","14","42","4","3","7"
"bailar","68","15","45","4","3","7"
"bailar","68","15","96","8","3","7"
"bailar","68","15","46","4","3","9"
"baja","69","16","1","8","2","10"
"baja","69","14","4","8","2","10"
"baja","69","13","6","8","2","10"
"baja","69","13","7","8","2","10"
"baja","69","13","9","8","2","10"
"baja","69","13","11","8","2","10"
"baja","69","14","13","8","2","10"
"baja","69","null","15","8","2","10"
"baja","69","null","17","8","2","10"
"baja","69","13","18","8","2","10"
"baja","69","13","19","8","2","10"
"baja","69","13","20","8","2","10"
"baja","69","13","26","8","2","10"
"baja","69","13","30","8","2","10"
"baja","69","13","31","8","2","10"
"baja","69","null","32","8","2","10"
"baja","69","13","33","8","2","10"
"baja","69","13","34","8","2","10"
"baja","69","13","35","8","2","10"
"baja","69","13","36","8","2","10"
"baja","69","13","37","8","2","10"
"baja","69","13","39","8","2","10"
"baja","69","14","41","4","3","10"
"baja","69","14","42","4","3","10"
"baja","69","15","45","4","3","10"
"baja","69","15","46","4","3","10"
"baja","69","15","47","4","3","10"
"baja","69","14","49","4","3","10"
"baja","69","14","64","4","3","10"
"baja","69","15","65","4","3","10"
"baja","69","14","67","4","3","10"
"baja","69","14","68","4","3","10"
"baja","69","null","79","8","3","10"
"balazo","70","null","75","4","3","1"
"bebé","71","16","1","8","2","1"
"bebé","71","14","2","8","2","1"
"bebé","71","13","12","8","2","1"
"bebé","71","14","13","8","2","1"
"bebé","71","13","19","8","2","1"
"bebé","71","13","20","8","2","1"
"bebé","71","13","21","8","2","1"
"bebé","71","14","23","8","2","1"
"bebé","71","13","24","8","2","1"
"bebé","71","13","26","8","2","1"
"bebé","71","13","28","8","2","1"
"bebé","71","13","29","8","2","1"
"bebé","71","13","38","8","2","1"
"bebé","71","13","39","8","2","1"
"bebé","71","14","41","4","3","1"
"bebé","71","15","46","4","3","1"
"bebé","71","14","50","4","3","1"
"bebé","71","14","57","4","3","1"
"bebé","71","14","62","4","3","1"
"bebé","71","14","64","4","3","1"
"bebé","71","14","66","4","3","1"
"bebé","71","14","69","4","3","1"
"bebé","71","14","78","4","3","1"
"bebé","71","15","85","8","3","1"
"bebé","71","13","11","8","2","9"
"bebé","71","13","16","8","2","9"
"bebé","71","13","20","8","2","9"
"bebé","71","13","21","8","2","9"
"bebé","71","13","37","8","2","9"
"bebé","71","13","38","8","2","9"
"bebé","71","14","95","8","3","9"
"bendición","72","null","15","8","2","1"
"besos","73","null","75","4","3","8"
"bien dirigida","74","14","72","4","3","16"
"bienestar","75","15","82","8","3","13"
"bienestar","75","15","96","8","3","13"
"biología","76","14","64","4","3","16"
"bipolaridad","77","14","23","8","2","4"
"borracho","78","14","2","8","2","6"
"borracho","78","14","50","4","3","6"
"borracho","78","15","61","4","3","6"
"borracho","78","14","62","4","3","6"
"borracho","78","14","63","4","3","6"
"borracho","78","null","80","8","3","6"
"borracho","78","15","82","8","3","6"
"borracho","78","null","97","8","3","6"
"borracho","78","16","1","8","2","12"
"borrachos","79","14","53","4","3","6"
"borrachos","79","14","50","4","3","7"
"borrachos","79","14","4","8","2","12"
"brusco","80","null","81","8","3","14"
"buena","81","null","88","8","3","10"
"buena","81","15","89","8","3","10"
"buena","81","14","95","8","3","10"
"buena","81","15","96","8","3","10"
"buenas","82","14","72","4","3","4"
"bueno","83","14","43","4","3","1"
"bueno","83","15","61","4","3","3"
"buenos","84","14","13","8","2","12"
"buenos","84","null","15","8","2","12"
"buenos","84","13","16","8","2","12"
"buenos","84","13","30","8","2","12"
"buenos","84","13","39","8","2","12"
"bullying","85","13","28","8","2","2"
"bullying","85","14","53","4","3","2"
"bullying","85","14","76","4","3","2"
"bullying","85","14","87","8","3","2"
"bullying","85","null","88","8","3","2"
"bullying","85","15","89","8","3","2"
"bullying","85","14","92","8","3","2"
"bullying","85","null","97","8","3","2"
"bullying","85","14","99","8","3","2"
"bullying","85","null","93","8","3","10"
"buscapleitos","86","null","71","4","3","14"
"cachondeo","87","13","11","8","2","7"
"caguamas","88","15","47","4","3","6"
"calentura","89","15","47","4","3","1"
"calentura","89","14","49","4","3","1"
"calentura","89","14","50","4","3","1"
"calentura","89","13","18","8","2","7"
"calle","90","15","70","4","3","2"
"calle","90","14","50","4","3","5"
"cama","91","13","37","8","2","7"
"cama","91","13","36","8","2","13"
"cama","91","13","37","8","2","13"
"cama","91","15","45","4","3","13"
"cama","91","13","18","8","2","15"
"cambio climático","92","15","70","4","3","3"
"campeón mundial","93","null","75","4","3","3"
"canción","94","14","50","4","3","15"
"cantón","95","15","46","4","3","13"
"cantón","95","null","88","8","3","13"
"carácter","96","13","7","8","2","4"
"carácter","96","13","21","8","2","4"
"carácter","96","14","23","8","2","4"
"cárcel","97","14","78","4","3","6"
"cariño","98","14","50","4","3","8"
"cariño","98","null","80","8","3","8"
"cariño","98","14","42","4","3","12"
"cariño","98","14","49","4","3","12"
"cariño","98","14","50","4","3","12"
"cariño","98","14","58","4","3","12"
"cariño","98","14","86","8","3","12"
"cariño","98","null","93","8","3","12"
"cariño","98","null","97","8","3","12"
"carrera","99","13","7","8","2","3"
"carrera","99","13","12","8","2","3"
"carrera","99","13","28","8","2","3"
"carrera","99","13","30","8","2","3"
"carrera","99","13","38","8","2","3"
"carrera","99","15","46","4","3","3"
"carrera","99","null","71","4","3","3"
"carrera","99","14","87","8","3","3"
"carro","100","13","6","8","2","3"
"carro","100","13","14","8","2","3"
"casa","101","13","25","8","2","3"
"casa","101","14","50","4","3","13"
"casa","101","15","85","8","3","13"
"casa","101","14","99","8","3","13"
"casa estable","102","13","3","8","2","13"
"casados","103","14","40","8","2","8"
"castigo","104","13","18","8","2","1"
"castigos","105","15","82","8","3","12"
"castigos","105","16","84","8","3","12"
"castigos","105","null","90","8","3","12"
"castigos","105","14","92","8","3","12"
"casual","106","13","33","8","2","15"
"cauidar","107","14","67","4","3","1"
"celos","108","13","8","8","2","8"
"celos","108","13","12","8","2","8"
"celos","108","13","35","8","2","8"
"celular","109","14","4","8","2","11"
"celular","109","13","6","8","2","11"
"celular","109","13","7","8","2","11"
"celular","109","13","12","8","2","11"
"celular","109","null","15","8","2","11"
"celular","109","null","17","8","2","11"
"celular","109","13","19","8","2","11"
"celular","109","13","21","8","2","11"
"celular","109","13","25","8","2","11"
"celular","109","13","27","8","2","11"
"celular","109","13","36","8","2","11"
"celular","109","14","49","4","3","11"
"celular","109","14","52","4","3","11"
"celular","109","14","53","4","3","11"
"celular","109","15","55","4","3","11"
"celular","109","14","56","4","3","11"
"celular","109","14","62","4","3","11"
"celular","109","14","64","4","3","11"
"celular","109","14","68","4","3","11"
"celular","109","14","74","4","3","11"
"celular","109","15","77","4","3","11"
"celular","109","14","87","8","3","11"
"celular","109","15","89","8","3","11"
"celular","109","null","90","8","3","11"
"celular","109","null","94","8","3","11"
"celular","109","15","96","8","3","11"
"chasty","110","15","45","4","3","17"
"chat","111","13","27","8","2","11"
"chidos","112","null","80","8","3","4"
"china","113","15","48","4","3","11"
"china","113","14","50","4","3","11"
"china","113","14","54","4","3","11"
"china","113","14","62","4","3","11"
"china","113","14","73","4","3","11"
